Date,Voltage,Current,Power,Kitchen energy,Laundry energy,Heating energy,Other energy
2009-01-01,242.8360625,4.149861111111111,0.9768694444444445,765.0,3845.0,2803.0,16031.866666666667
2009-01-02,242.7048888888889,6.737777777777778,1.616326388888889,2417.0,6018.0,11841.0,18515.833333333332
2009-01-03,243.68145833333332,5.530833333333333,1.3288166666666668,6440.0,328.0,10439.0,14684.6
2009-01-04,244.82243055555554,5.633194444444444,1.3472180555555555,1457.0,5251.0,3245.0,22380.233333333334
2009-01-05,244.83077777777777,4.6362499999999995,1.113888888888889,1247.0,322.0,8650.0,16514.333333333332
2009-01-06,245.09266666666667,4.834027777777778,1.1735152777777778,0.0,254.0,12462.0,15448.366666666667
2009-01-07,246.0406388888889,5.946805555555556,1.4446333333333332,2687.0,3820.0,9979.0,18185.2
2009-01-08,245.3507361111111,4.720694444444445,1.1342152777777779,2773.0,299.0,10075.0,14074.166666666666
2009-01-09,244.62240972222224,5.182083333333333,1.2421541666666667,1802.0,272.0,9285.0,18452.7
2009-01-10,244.12048611111112,6.088888888888889,1.4603805555555556,2828.0,4288.0,12539.0,15394.133333333333
2009-01-11,245.5315486111111,5.764722222222223,1.3722138888888888,4521.0,5301.0,5887.0,17224.133333333335
2009-01-12,245.52706944444444,4.513888888888889,1.1036652777777778,0.0,261.0,12147.0,14079.966666666667
2009-01-13,244.45834027777778,6.254305555555556,1.5156944444444445,1140.0,329.0,16194.0,18713.666666666668
2009-01-14,244.60943710910354,5.100208478109798,1.2343863794301597,2277.0,332.0,10301.0,16694.7
2009-01-15,243.02127777777778,4.520555555555556,1.0861583333333333,2731.0,390.0,9561.0,13385.8
2009-01-16,242.56897222222221,8.040555555555555,1.9212180555555556,5811.0,3158.0,15220.0,21920.233333333334
2009-01-17,241.63154166666666,9.578888888888889,2.304041666666667,2477.0,3154.0,15322.0,34344.0
2009-01-18,242.64408333333333,9.167638888888888,2.1904125,5649.0,6701.0,12727.0,27492.9
2009-01-19,243.1261736111111,4.924444444444444,1.1804625,1118.0,376.0,10279.0,16558.1
2009-01-20,243.39985416666664,4.979722222222223,1.206963888888889,0.0,282.0,13727.0,14958.133333333333
2009-01-21,244.10518749999997,4.992916666666667,1.2079402777777777,1148.0,2159.0,9830.0,15853.566666666666
2009-01-22,244.00635416666668,3.5900000000000003,0.859275,0.0,341.0,8246.0,12035.6
2009-01-23,242.76895138888887,5.530833333333333,1.326761111111111,2078.0,295.0,12146.0,17323.266666666666
2009-01-24,243.25075694444448,6.391111111111112,1.5283125,5096.0,4492.0,8322.0,18769.5
2009-01-25,242.54399305555555,8.151388888888889,1.9747666666666668,3971.0,5960.0,11213.0,26250.4
2009-01-26,243.20027083333335,4.834444444444444,1.1628277777777778,1121.0,348.0,9821.0,16617.866666666665
2009-01-27,243.9376041666667,4.167916666666667,0.9896041666666666,896.0,278.0,6608.0,15968.5
2009-01-28,243.03222222222223,7.830972222222223,1.8900930555555555,2301.0,6949.0,14285.0,21827.233333333334
2009-01-29,243.36284722222223,4.532638888888889,1.0928458333333333,0.0,294.0,8996.0,16938.3
2009-01-30,244.28983333333332,5.917916666666666,1.4298875,1622.0,280.0,12147.0,20268.3
2009-01-31,242.47138194444443,9.633194444444444,2.3005916666666666,8278.0,6575.0,15309.0,25052.2
2009-02-01,244.76485734664766,5.395720399429386,1.289201141226819,3330.0,622.0,7494.0,18678.333333333332
2009-02-02,244.8748263888889,4.581111111111111,1.1134027777777777,1159.0,232.0,10915.0,14415.666666666666
2009-02-03,244.3027222222222,5.3438888888888885,1.2974930555555557,703.0,878.0,14984.0,14574.833333333334
2009-02-04,244.68669444444447,7.041388888888889,1.708975,871.0,6961.0,15960.0,17223.4
2009-02-05,243.85506249999997,4.7625,1.1452,1104.0,264.0,12987.0,13129.8
2009-02-06,243.28893055555557,5.921666666666667,1.4224972222222223,1165.0,273.0,11716.0,20985.933333333334
2009-02-07,242.05092361111113,9.080972222222222,2.1746777777777777,6822.0,4483.0,17873.0,23014.266666666666
2009-02-08,243.35456944444445,6.329583333333334,1.5158791666666667,5341.0,259.0,15174.0,15607.1
2009-02-09,243.3219861111111,4.9655555555555555,1.1851652777777777,1063.0,228.0,9375.0,17777.966666666667
2009-02-10,243.15777083333333,5.5841666666666665,1.349876388888889,1128.0,263.0,12339.0,18667.033333333333
2009-02-11,242.09756249999998,7.73125,1.8329097222222221,2985.0,10477.0,12195.0,18332.833333333332
2009-02-12,242.91152777777776,5.682638888888889,1.3671250000000001,1109.0,299.0,17724.0,13679.0
2009-02-13,241.69333333333336,4.891805555555555,1.173626388888889,1100.0,254.0,11554.0,15259.033333333333
2009-02-14,241.95406815020863,6.729485396383867,1.6221098748261475,2280.0,3256.0,18509.0,14831.566666666666
2009-02-15,242.8439375,4.501388888888889,1.1014111111111111,2465.0,226.0,5234.0,18508.866666666665
2009-02-16,242.14300694444444,3.8281944444444447,0.9159680555555555,0.0,261.0,7037.0,14685.233333333334
2009-02-17,242.261843220339,2.298870056497175,0.5520466101694915,0.0,266.0,3925.0,8837.3
2009-02-18,242.23109722222225,2.3558333333333334,0.5739236111111111,0.0,297.0,5471.0,8006.166666666667
2009-02-19,241.54959027777775,2.111527777777778,0.5119916666666667,1046.0,262.0,1796.0,9183.8
2009-02-20,240.19070833333333,5.535,1.3060666666666667,2897.0,293.0,8768.0,19387.6
2009-02-21,240.9543402777778,3.806666666666667,0.9140166666666667,2111.0,262.0,3983.0,15580.4
2009-02-22,241.31630555555554,6.534722222222222,1.5544986111111112,3816.0,8576.0,7133.0,17782.966666666667
2009-02-23,241.24088194444445,7.873055555555556,1.8983722222222221,1212.0,3744.0,12471.0,28133.933333333334
2009-02-24,240.8879236111111,5.167638888888889,1.2382944444444444,0.0,1602.0,14512.0,13605.066666666666
2009-02-25,241.2019652777778,3.4125,0.8123916666666667,1092.0,274.0,7359.0,10772.4
2009-02-26,240.73236805555555,3.3630555555555555,0.8033694444444445,0.0,268.0,6841.0,12171.866666666667
2009-02-27,240.96568750000003,5.903472222222222,1.4089708333333333,1154.0,246.0,14831.0,17584.3
2009-02-28,242.3972777777778,4.834305555555555,1.1324652777777777,1145.0,5358.0,8006.0,12670.166666666666
2009-03-01,242.13927727588603,7.221681723419041,1.7148200138985408,11178.0,2740.0,8834.0,18375.1
2009-03-02,242.24184722222222,4.401111111111112,1.0260013888888888,1560.0,310.0,6684.0,16070.033333333333
2009-03-03,242.89735416666667,5.347083333333334,1.2839944444444444,1159.0,268.0,13024.0,16364.866666666667
2009-03-04,242.3844861111111,5.397222222222222,1.2792569444444446,2214.0,2570.0,8393.0,17525.166666666668
2009-03-05,241.67960416666668,4.253333333333334,1.0012583333333334,0.0,271.0,9094.0,14665.2
2009-03-06,240.79331249999998,5.2636111111111115,1.238523611111111,1144.0,265.0,12056.0,16259.566666666668
2009-03-07,242.47164583333333,4.935972222222222,1.1781013888888887,1055.0,811.0,12113.0,14295.433333333332
2009-03-08,242.15979166666665,6.881805555555555,1.6369208333333334,7253.0,5260.0,12691.0,14082.1
2009-03-09,242.48230555555557,4.904444444444445,1.170525,2001.0,369.0,10336.0,15386.6
2009-03-10,241.8284375,5.340694444444445,1.2751458333333334,0.0,281.0,11610.0,18712.5
